Date,Site_location,Region,Site_number.x,Species_name,Collection_no,Plant_no,Porometer_no,Laser.gun_no,SPAD_or_CCM,Team_no,Height,Canopy_1,Canopy_2,Branch_order,Time,Wind_speed,Air_temp,Humidity,Leaf_orientation,Leaf_temp_upper,Leaf_temp_lower,Leaf_surface_in_sun,Conductance_lower,Chamber_temp_lower,Conductance_upper,Chamber_temp_upper,Chlorophyll.1,Chlorophyll.2,Chlorophyll.3,Internode_dia_.1,Internode_dia_2,Soil.depth,fwt_lam_pet,Plant_age,Age_of_oldest_leaf,Antho_1,Antho_2,swt_lam_pet,swt_lam,area_lam_pet,area_lam,lam_width,lam_length,petiole_width,petiole_length,lamina_thickness,hairiness,dwt_lam_pet,dwt_lam,dwt_pet,petiole_present,perimeter,photoshop_area,percent_canopy_openness,dark_qP,dark_qN,dark_qL,dark_NPQ,dark_Y_NO,Y_NPQ,Fo,Fm,Fv_over_Fm,light_F,light_Fm.,PAR,Light_Temp,Light_Yield,ETR,count,order,atlas_name,new_growth_form,resprouter,polymorphic,pollinator,dominant_color,dominant_color_class,polymorphism_rare,polymorph_type,wood_density,LMA,Canopy_area,LWratio,FWC,LDMC,Succulence,Chl_as_CCI,Stomatal_size_top,Stomatal_density_top,Stomatal_pore_index_top,Stomatal_size_bottom,Stomatal_density_bottom,Stomatal_pore_index_bottom,altitude,aspect,soil_rockiness,soil_type,soil_collection_bag_.,soil_moisture_field,soil_moisture_dry,vegetation_type,disturbance,Site_number.1,site,code,Soil,pH,Resistance,H_cmol_kg,Stone_vol_perc,P_mg_kg,K_mg_kg,Na_cmol_kg,K_cmol_kg,Ca_cmol_kg,Mg_cmol_kg,Cu_mg_kg,Zn_mg_kg,Mn_mg_kg,B_mg_kg,Fe_mg_kg,C_perc,Clay_perc,Silt_perc,Sand_perc,Classification,Na_perc,K_perc,Ca_perc,Mg_perc,TValue_cmol_kg,CDD,CFD,CSU,ECAr20mm,FD,GDD,MAP,MATmax,MATmin,MMP.01,MMP.02,MMP.03,MMP.04,MMP.05,MMP.06,MMP.07,MMP.08,MMP.09,MMP.10,MMP.11,MMP.12,MMTmax.01,MMTmax.02,MMTmax.03,MMTmax.04,MMTmax.05,MMTmax.06,MMTmax.07,MMTmax.08,MMTmax.09,MMTmax.10,MMTmax.11,MMTmax.12,MMTmin.01,MMTmin.02,MMTmin.03,MMTmin.04,MMTmin.05,MMTmin.06,MMTmin.07,MMTmin.08,MMTmin.09,MMTmin.10,MMTmin.11,MMTmin.12,MTmax.01,MTmax.02,MTmax.03,MTmax.04,MTmax.05,MTmax.06,MTmax.07,MTmax.08,MTmax.09,MTmax.10,MTmax.11,MTmax.12,MTmin.01,MTmin.02,MTmin.03,MTmin.04,MTmin.05,MTmin.06,MTmin.07,MTmin.08,MTmin.09,MTmin.10,MTmin.11,MTmin.12,rr2,sdii,SU,MAT
7/24/2011,De_Hoop,De_Hoop,PR_2000,obtusifolia,1,1,1,1,CCM,1,254,240,200,5,0.506944444,0.6,13.8,74.5,vertical,17.5,17.4,lower,59.5,15.1,87.1,15.8,39.5,50.3,42.1,7.61,.,.,1.678,10,4,.,.,1.744,1.652,18.77,18.439,2.1,13.3,4.05,8.18,0.786,1,0.814,0.774,0.04,Y,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.2444,118.34,5,1,PROBTU,erect,no,yes,birds,none,both,no,both,0.550104638,0.041976906,150796.4474,6.333333333,1.061425061,0.485101311,0.0460309,.,.,.,.,.,.,.,.,flat,pebbly,sandy,2000,.,.,fynbos,low,PR_2000,2000,.,Sand,7.65,.,.,12,0.5,89.5,0.435,0.23,17.435,1.11,.,.,.,.,.,1.15,2,4.3,93.7,Sa,2.175,1.18,91.005,5.64,19.205,31.3,0.45,1,3.35,0.6,200251.7615,533.8735855,22.25720873,11.91788135,28.10515366,31.83629761,49.78444424,54.55538912,43.58049393,42.47574024,58.29513893,51.13939314,32.86872048,51.29564748,44.82376201,36.99629714,26.05727272,26.83653471,25.30616962,23.24844795,20.78866291,18.76919874,17.93266487,18.13467651,19.65162998,21.91441822,23.33918487,23.33918487,16.55235167,17.53612222,15.82231522,13.50167592,10.52500476,7.833551433,6.589197742,6.869619846,8.726665603,11.2944292,13.40112596,15.18323978,29.75855093,30.82597812,29.64647908,27.84135162,25.28950389,22.56426848,21.94465224,22.79228163,24.28856039,26.78345977,27.76517889,28.82358519,13.963537,15.22782378,13.0411556,10.63951757,7.666782393,5.056056663,3.852301679,4.259899882,5.979350104,8.402877058,10.85856375,12.78815744,61.15,5.195236444,109.5,17.08819914
7/24/2011,De_Hoop,De_Hoop,PR_2000,obtusifolia,1,2,1,1,CCM,1,185,650,600,5,0.524305556,0.5,15.1,59.7,vertical,14,14.4,upper,138.6,18.4,94.3,19,35.4,35.4,40.8,7.67,.,.,2.03,13,3,.,.,2.112,2.101,23.15,22.821,3.3,11.7,5.11,6.44,0.738,1,0.998,0.952,0.046,Y,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.32875,36.5375,8,2,PROBTU,erect,no,yes,birds,none,both,no,both,0.561394929,0.041716117,1225221.135,3.545454545,1.034068136,0.491625616,0.044578834,.,.,.,.,.,.,.,.,flat,pebbly,sandy,2000,.,.,fynbos,low,PR_2000,2000,.,Sand,7.65,.,.,12,0.5,89.5,0.435,0.23,17.435,1.11,.,.,.,.,.,1.15,2,4.3,93.7,Sa,2.175,1.18,91.005,5.64,19.205,31.3,0.45,1,3.35,0.6,200251.7615,533.8735855,22.25720873,11.91788135,28.10515366,31.83629761,49.78444424,54.55538912,43.58049393,42.47574024,58.29513893,51.13939314,32.86872048,51.29564748,44.82376201,36.99629714,26.05727272,26.83653471,25.30616962,23.24844795,20.78866291,18.76919874,17.93266487,18.13467651,19.65162998,21.91441822,23.33918487,23.33918487,16.55235167,17.53612222,15.82231522,13.50167592,10.52500476,7.833551433,6.589197742,6.869619846,8.726665603,11.2944292,13.40112596,15.18323978,29.75855093,30.82597812,29.64647908,27.84135162,25.28950389,22.56426848,21.94465224,22.79228163,24.28856039,26.78345977,27.76517889,28.82358519,13.963537,15.22782378,13.0411556,10.63951757,7.666782393,5.056056663,3.852301679,4.259899882,5.979350104,8.402877058,10.85856375,12.78815744,61.15,5.195236444,109.5,17.08819914
7/24/2011,De_Hoop,De_Hoop,PR_2000,obtusifolia,1,3,1,1,CCM,1,150,380,190,5,0.534722222,0.4,14.8,60.7,horizontal,11.6,11.4,lower,125.4,17.5,100.9,17.8,39.1,48.6,36.9,6.86,.,.,1.34,9,3,.,.,1.398,1.334,15.3,14.965,2.2,10.7,3.76,8.9,0.766,1,0.688,0.658,0.03,Y,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.273714286,27.02857143,7,3,PROBTU,erect,no,yes,birds,none,both,no,both,0.587337284,0.043968204,226822.9896,4.863636364,0.947674419,0.513432836,0.042614379,.,.,.,.,.,.,.,.,flat,pebbly,sandy,2000,.,.,fynbos,low,PR_2000,2000,.,Sand,7.65,.,.,12,0.5,89.5,0.435,0.23,17.435,1.11,.,.,.,.,.,1.15,2,4.3,93.7,Sa,2.175,1.18,91.005,5.64,19.205,31.3,0.45,1,3.35,0.6,200251.7615,533.8735855,22.25720873,11.91788135,28.10515366,31.83629761,49.78444424,54.55538912,43.58049393,42.47574024,58.29513893,51.13939314,32.86872048,51.29564748,44.82376201,36.99629714,26.05727272,26.83653471,25.30616962,23.24844795,20.78866291,18.76919874,17.93266487,18.13467651,19.65162998,21.91441822,23.33918487,23.33918487,16.55235167,17.53612222,15.82231522,13.50167592,10.52500476,7.833551433,6.589197742,6.869619846,8.726665603,11.2944292,13.40112596,15.18323978,29.75855093,30.82597812,29.64647908,27.84135162,25.28950389,22.56426848,21.94465224,22.79228163,24.28856039,26.78345977,27.76517889,28.82358519,13.963537,15.22782378,13.0411556,10.63951757,7.666782393,5.056056663,3.852301679,4.259899882,5.979350104,8.402877058,10.85856375,12.78815744,61.15,5.195236444,109.5,17.08819914
7/24/2011,De_Hoop,De_Hoop,PR_2000,obtusifolia,1,4,1,1,CCM,1,145,250,250,5,0.541666667,0.4,15.4,57.6,horizontal,13.2,13.1,.,120.3,18.3,112.7,18.3,28.6,87.2,68.2,7.06,.,.,1.852,9,3,.,.,1.91,1.834,18.77,18.307,2.1,13.4,3.97,11.66,0.812,1,0.956,0.918,0.038,Y,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.2238,91.08,5,4,PROBTU,erect,no,yes,birds,none,both,no,both,0.626124714,0.050144485,196349.5408,6.380952381,0.937238494,0.516198704,0.047735749,.,.,.,.,.,.,.,.,flat,pebbly,sandy,2000,.,.,fynbos,low,PR_2000,2000,.,Sand,7.65,.,.,12,0.5,89.5,0.435,0.23,17.435,1.11,.,.,.,.,.,1.15,2,4.3,93.7,Sa,2.175,1.18,91.005,5.64,19.205,31.3,0.45,1,3.35,0.6,200251.7615,533.8735855,22.25720873,11.91788135,28.10515366,31.83629761,49.78444424,54.55538912,43.58049393,42.47574024,58.29513893,51.13939314,32.86872048,51.29564748,44.82376201,36.99629714,26.05727272,26.83653471,25.30616962,23.24844795,20.78866291,18.76919874,17.93266487,18.13467651,19.65162998,21.91441822,23.33918487,23.33918487,16.55235167,17.53612222,15.82231522,13.50167592,10.52500476,7.833551433,6.589197742,6.869619846,8.726665603,11.2944292,13.40112596,15.18323978,29.75855093,30.82597812,29.64647908,27.84135162,25.28950389,22.56426848,21.94465224,22.79228163,24.28856039,26.78345977,27.76517889,28.82358519,13.963537,15.22782378,13.0411556,10.63951757,7.666782393,5.056056663,3.852301679,4.259899882,5.979350104,8.402877058,10.85856375,12.78815744,61.15,5.195236444,109.5,17.08819914
7/24/2011,De_Hoop,De_Hoop,PR_2000,obtusifolia,1,5,1,1,CCM,1,170,500,380,5,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1.158,9,.,.,.,1.208,1.156,14.04,13.851,2.1,10.2,3.75,5.05,0.721,1,0.56,0.538,0.022,Y,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,5,PROBTU,erect,no,yes,birds,none,both,no,both,.,0.038843012,596902.6042,4.857142857,1.067857143,0.483592401,0.042592593,.,.,.,.,.,.,.,.,flat,pebbly,sandy,2000,.,.,fynbos,low,PR_2000,2000,.,Sand,7.65,.,.,12,0.5,89.5,0.435,0.23,17.435,1.11,.,.,.,.,.,1.15,2,4.3,93.7,Sa,2.175,1.18,91.005,5.64,19.205,31.3,0.45,1,3.35,0.6,200251.7615,533.8735855,22.25720873,11.91788135,28.10515366,31.83629761,49.78444424,54.55538912,43.58049393,42.47574024,58.29513893,51.13939314,32.86872048,51.29564748,44.82376201,36.99629714,26.05727272,26.83653471,25.30616962,23.24844795,20.78866291,18.76919874,17.93266487,18.13467651,19.65162998,21.91441822,23.33918487,23.33918487,16.55235167,17.53612222,15.82231522,13.50167592,10.52500476,7.833551433,6.589197742,6.869619846,8.726665603,11.2944292,13.40112596,15.18323978,29.75855093,30.82597812,29.64647908,27.84135162,25.28950389,22.56426848,21.94465224,22.79228163,24.28856039,26.78345977,27.76517889,28.82358519,13.963537,15.22782378,13.0411556,10.63951757,7.666782393,5.056056663,3.852301679,4.259899882,5.979350104,8.402877058,10.85856375,12.78815744,61.15,5.195236444,109.5,17.08819914
7/24/2011,De_Hoop,De_Hoop,PR_2000,obtusifolia,1,6,1,1,CCM,1,165,360,350,5,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,2.862,10,.,.,.,2.982,2.85,33.15,32.787,3.4,15.2,4.46,8.14,0.768,1,1.356,1.3,0.056,Y,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,6,PROBTU,erect,no,yes,birds,none,both,no,both,.,0.039649914,395840.6744,4.470588235,1.110619469,0.473794549,0.045429864,.,.,.,.,.,.,.,.,flat,pebbly,sandy,2000,.,.,fynbos,low,PR_2000,2000,.,Sand,7.65,.,.,12,0.5,89.5,0.435,0.23,17.435,1.11,.,.,.,.,.,1.15,2,4.3,93.7,Sa,2.175,1.18,91.005,5.64,19.205,31.3,0.45,1,3.35,0.6,200251.7615,533.8735855,22.25720873,11.91788135,28.10515366,31.83629761,49.78444424,54.55538912,43.58049393,42.47574024,58.29513893,51.13939314,32.86872048,51.29564748,44.82376201,36.99629714,26.05727272,26.83653471,25.30616962,23.24844795,20.78866291,18.76919874,17.93266487,18.13467651,19.65162998,21.91441822,23.33918487,23.33918487,16.55235167,17.53612222,15.82231522,13.50167592,10.52500476,7.833551433,6.589197742,6.869619846,8.726665603,11.2944292,13.40112596,15.18323978,29.75855093,30.82597812,29.64647908,27.84135162,25.28950389,22.56426848,21.94465224,22.79228163,24.28856039,26.78345977,27.76517889,28.82358519,13.963537,15.22782378,13.0411556,10.63951757,7.666782393,5.056056663,3.852301679,4.259899882,5.979350104,8.402877058,10.85856375,12.78815744,61.15,5.195236444,109.5,17.08819914
7/24/2011,De_Hoop,De_Hoop,PR_2000,obtusifolia,1,7,1,1,CCM,1,120,250,180,5,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1.17,8,.,.,.,1.212,1.162,12.58,12.267,2,9.5,3.38,9.27,0.784,1,0.55,0.568,-0.018,Y,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,7,PROBTU,erect,no,yes,birds,none,both,no,both,.,0.04630432,141371.6694,4.75,1.127272727,0.47008547,0.049284579,.,.,.,.,.,.,.,.,flat,pebbly,sandy,2000,.,.,fynbos,low,PR_2000,2000,.,Sand,7.65,.,.,12,0.5,89.5,0.435,0.23,17.435,1.11,.,.,.,.,.,1.15,2,4.3,93.7,Sa,2.175,1.18,91.005,5.64,19.205,31.3,0.45,1,3.35,0.6,200251.7615,533.8735855,22.25720873,11.91788135,28.10515366,31.83629761,49.78444424,54.55538912,43.58049393,42.47574024,58.29513893,51.13939314,32.86872048,51.29564748,44.82376201,36.99629714,26.05727272,26.83653471,25.30616962,23.24844795,20.78866291,18.76919874,17.93266487,18.13467651,19.65162998,21.91441822,23.33918487,23.33918487,16.55235167,17.53612222,15.82231522,13.50167592,10.52500476,7.833551433,6.589197742,6.869619846,8.726665603,11.2944292,13.40112596,15.18323978,29.75855093,30.82597812,29.64647908,27.84135162,25.28950389,22.56426848,21.94465224,22.79228163,24.28856039,26.78345977,27.76517889,28.82358519,13.963537,15.22782378,13.0411556,10.63951757,7.666782393,5.056056663,3.852301679,4.259899882,5.979350104,8.402877058,10.85856375,12.78815744,61.15,5.195236444,109.5,17.08819914
7/24/2011,De_Hoop,De_Hoop,PR_2000,obtusifolia,1,8,1,1,CCM,1,185,300,280,5,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,2.522,8,.,.,.,2.596,2.468,29.22,28.766,3.2,14.1,4.72,9.62,0.72,0.5,1.258,1.208,0.05,Y,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,8,PROBTU,erect,no,yes,birds,none,both,no,both,.,0.041994114,263893.7829,4.40625,1.004769475,0.498810468,0.043258042,.,.,.,.,.,.,.,.,flat,pebbly,sandy,2000,.,.,fynbos,low,PR_2000,2000,.,Sand,7.65,.,.,12,0.5,89.5,0.435,0.23,17.435,1.11,.,.,.,.,.,1.15,2,4.3,93.7,Sa,2.175,1.18,91.005,5.64,19.205,31.3,0.45,1,3.35,0.6,200251.7615,533.8735855,22.25720873,11.91788135,28.10515366,31.83629761,49.78444424,54.55538912,43.58049393,42.47574024,58.29513893,51.13939314,32.86872048,51.29564748,44.82376201,36.99629714,26.05727272,26.83653471,25.30616962,23.24844795,20.78866291,18.76919874,17.93266487,18.13467651,19.65162998,21.91441822,23.33918487,23.33918487,16.55235167,17.53612222,15.82231522,13.50167592,10.52500476,7.833551433,6.589197742,6.869619846,8.726665603,11.2944292,13.40112596,15.18323978,29.75855093,30.82597812,29.64647908,27.84135162,25.28950389,22.56426848,21.94465224,22.79228163,24.28856039,26.78345977,27.76517889,28.82358519,13.963537,15.22782378,13.0411556,10.63951757,7.666782393,5.056056663,3.852301679,4.259899882,5.979350104,8.402877058,10.85856375,12.78815744,61.15,5.195236444,109.5,17.08819914
7/25/2011,Noetsie,De_Hoop,PR_2001,lanceolata,2,1,1,1,CCM,1,200,170,90,5,0.472222222,1.6,16.7,55.8,.,18,17.6,upper,118.3,18.2,132.6,18.2,6.2,13.4,39.5,6.74,.,.,0.202,6,4,2.9,8.2,0.218,.,4.4,4.4,1.2,5.6,1.77,.,0.43,0,0.07,0.07,.,N,.,.,.,0.595,0.106,0.281,0.093,0.514,0.049,128,515,0.751,.,.,.,.,0.4342,34.64,5,9,PRLANC,erect,no,no,birds,white,light,.,none,0.533755608,0.015909091,48066.3676,4.666666667,1.885714286,0.346534653,0.03,.,.,.,.,.,.,.,.,SE,sandy,leached_sand,2001,45.985,43.985,fynbos_,medium,PR_2001,2001,.,Sand,6,.,.,2,3,72,0.11,0.19,4.34,0.86,.,.,.,.,.,1.05,6,0.4,93.6,Sa,2.06,3.37,78.91,15.67,5.5,29.5,0.35,1,3.95,0.45,200269.6916,580.9393494,22.40360012,11.97044306,34.02141752,37.83207769,60.6706953,58.32097626,52.66269169,49.22979059,51.67979708,49.53045416,37.1861383,54.53900943,49.45480747,35.52297194,26.50107994,27.14663643,25.58294296,23.27775192,20.73019165,18.59644593,17.83299149,18.17695628,19.80217446,22.12712902,23.6574618,23.6574618,16.51613874,17.33304617,15.6989273,13.43361086,10.60760959,8.111995803,6.927943415,7.031692425,8.865775135,11.36806626,13.35228194,15.20390103,30.1570899,31.13192203,29.93153461,27.90064383,25.28812779,22.43955633,21.88858912,22.88921144,24.48156362,27.04798767,28.07776117,29.06678634,13.88888314,14.99211456,12.8997285,10.56407659,7.753396279,5.33002333,4.175299576,4.416492544,6.109219333,8.45680181,10.79905912,12.76450446,65.3,5.411570549,115,17.1882713
7/25/2011,Noetsie,De_Hoop,PR_2001,lanceolata,2,2,1,1,CCM,1,140,140,120,5,0.486111111,0.4,16.5,55.1,.,16.9,17.7,upper,78.7,20.2,105.2,21.2,4.5,1.7,1.3,5.6,.,.,0.122,7,4,4.4,5.6,0.129,.,2.61,2.61,0.9,4.4,1.58,.,0.398,0,0.044,0.044,.,N,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.1675,13.375,4,10,PRLANC,erect,no,no,birds,white,light,.,none,0.559534531,0.016858238,52778.75658,4.888888889,1.772727273,0.360655738,0.029885057,.,.,.,.,.,.,.,.,SE,sandy,leached_sand,2001,45.985,43.985,fynbos_,medium,PR_2001,2001,.,Sand,6,.,.,2,3,72,0.11,0.19,4.34,0.86,.,.,.,.,.,1.05,6,0.4,93.6,Sa,2.06,3.37,78.91,15.67,5.5,29.5,0.35,1,3.95,0.45,200269.6916,580.9393494,22.40360012,11.97044306,34.02141752,37.83207769,60.6706953,58.32097626,52.66269169,49.22979059,51.67979708,49.53045416,37.1861383,54.53900943,49.45480747,35.52297194,26.50107994,27.14663643,25.58294296,23.27775192,20.73019165,18.59644593,17.83299149,18.17695628,19.80217446,22.12712902,23.6574618,23.6574618,16.51613874,17.33304617,15.6989273,13.43361086,10.60760959,8.111995803,6.927943415,7.031692425,8.865775135,11.36806626,13.35228194,15.20390103,30.1570899,31.13192203,29.93153461,27.90064383,25.28812779,22.43955633,21.88858912,22.88921144,24.48156362,27.04798767,28.07776117,29.06678634,13.88888314,14.99211456,12.8997285,10.56407659,7.753396279,5.33002333,4.175299576,4.416492544,6.109219333,8.45680181,10.79905912,12.76450446,65.3,5.411570549,115,17.1882713
